index,Place_name,Address1,Reviewscount,Total_score,Latitude,Longitude,Category
1,Panas Restaurant,"????? ????? 22, Kathmandu 44600",153,3.6,27.7011869,85.3114101,Restaurant
2,Revolution Cafe,"???? ???, Kathmandu 44600",508,4.1,27.7037579,85.3092563,Restaurant
3,Rosemary Kitchen and Coffee Shop,"J P Marg, Kathmandu 44600",1191,4.4,27.7118426,85.3094098,Restaurant
4,New Sundhara Thakali Chulo And Bhanchhaghar,"St 201, Kathmandu 44600",3,5,27.6996627,85.3124104,Restaurant
5,Third Eye Restaurant,"J.p. Rd, Kathmandu 44600",1394,4.4,27.7144278,85.3101163,Restaurant
6,Roadhouse Cafe,"Chaksibari Road, Kathmandu 44600",2377,4.4,27.7143996,85.3103329,Restaurant
7,Cafe Mitra,"Thamel Marg, Kathmandu 44600",495,4.5,27.7127149,85.3113838,Restaurant
8,Palu Malta,Kathmandu 44600,60,4.2,27.7033131,85.3129653,Restaurant
9,Dudh Sagar,"P857+QQ9, Kanti Path, Kathmandu 44600",351,3.6,27.7094089,85.3144749,Restaurant
10,French Bakery,"Paknajol Marg, Kathmandu 44600",895,4.4,27.7127415,85.3086266,Restaurant
11,Yala Cafe & Coffee Shop,"Kwabahal, Thamel Marg, Kathmandu 44600",1237,4.8,27.7123197,85.3114448,Restaurant
12,Paleti Bhanchha Ghar Restaurant and Bar,"J P Marg, Kathmandu 44600",261,4.4,27.71208,85.310173,Restaurant
13,The Best Kathmandu Kitchen,"Thamel-26,Bhagawatisthan, Kathmandu 44600",481,4.5,27.715688,85.3115404,Restaurant
14,Nepalaya Rooftop Restaurant,"Inside Hotel Nepalaya, Thamel, Kwabahal-17, Kathmandu 44600",572,4.7,27.7119973,85.3113102,Restaurant
15,Chulesi Restaurant,"Nagarjun-1, Kathmandu 44600",75,4.5,27.7328584,85.2882606,Restaurant
16,Healthy Smoothie Bowl & Pizzeria,Kathmandu 44600,144,4.9,27.7156119,85.309199,Restaurant
17,Basuri Restaurant,"Swoyambhu Marg, Kathmandu 44600",279,4.3,27.7137148,85.2971763,Restaurant
18,French Creperie,"Chibahal Marg 26, Kathmandu 44600",653,4.6,27.7137832,85.3117303,Restaurant
19,Taste Valhalla,"Radhakrishna Mandir, Raniban Rd, Kathmandu 44600",94,4.3,27.7304721,85.2871821,Restaurant
20,Kathmandu Grill Restaurant,"Chaksibari Marg, Kathmandu 44600",1201,4.7,27.7162317,85.3098124,Restaurant
21,Kathmandu Durbar Square,Kathmandu 44600,34658,4.5,27.7042737,85.307463,Historical Landmark
22,Nasal Chowk,"P834+MXP, Layaku Marg, Kathmandu 44600",596,4.5,27.7042077,85.3074418,Historical Landmark
23,Hijakhusi Falcha,"M8XJ+W65, M8XJ+W6HKathmandu 44600",11,5,27.6997644,85.3305946,Historical Landmark
24,Bhandarkhal,"P844+7RF, Kathmandu 44600",36,4.2,27.7056862,85.3070381,Historical Landmark
25,Ratna Park,"???? ????? ??, Kathmandu 44600",15984,3.9,27.7060531,85.3148081,Historical Landmark
26,Hanuman Dhoka,"Hanuman Dhoka Sadak, Kathmandu 44600",1147,4.5,27.704272,85.307417,Historical Landmark
27,Maitighar Mandala,"M8VC+R5R, Kathmandu 44600",292,4.2,27.6944693,85.3203174,Historical Landmark
28,Jagannath Temple,"P834+VWC, Hanuman Dhoka Road, Kathmandu 44600",85,4.7,27.7046884,85.3072686,Historical Landmark
